acpi 1.7-4
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-dark 1.0-1
aircrack-ng 1.7-5
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-4
alsa-utils 1.2.14-1
anubis 1.21.3-1
arc-gtk-theme 20221218-2
auto-cpufreq 2.6.0-2
baobab 48.0-4
base 3-2
base-devel 1-2
bat 0.25.0-4
betterlockscreen 4.4.0-1
bind 9.20.11-1
brightnessctl 0.5.1-3
btop 1.4.4-1
caelestia-cli-git r265.2bde2dd-1
caelestia-shell-git r927.dfc1f6b-1
certbot 4.1.1-1
certbot-nginx 4.1.1-1
clang 20.1.8-1
clinfo 3.0.23.01.25-1
cmatrix 2.0-4
cython 3.1.2-1
dialog 1:1.3_20250116-1
dkms 3.2.1-1
dmenu 5.3-3
docker 1:28.3.2-1
docker-compose 2.39.1-1
dolphin 25.04.3-1
dunst 1.12.2-1
dwm 6.5-1
easyeffects 7.2.5-1
efibootmgr 18-3
elisa 25.04.3-3
espeak-ng 1.52.0-1
evince 48.1-1
exfatprogs 1.2.9-1
fastfetch 2.48.1-1
feh 3.10.3-1
firefox 141.0-1
fish 4.0.2-1
foliate 3.3.0-1
foot 1.23.1-1
fprintd 1.94.5-1
gdb 16.3-1
gdm 48.0-2
git 2.50.1-3
git-filter-repo 2.47.0-2
github-cli 2.76.1-1
glew 2.2.0-7
glib2-devel 2.84.3-1
gradle 8.14.3-1
grilo-plugins 1:0.3.18-1
grub 2:2.12.r292.g73d1c959-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-6
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-dnssd 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-onedrive 1.57.2-4
gvfs-smb 1.57.2-4
gvfs-wsdd 1.57.2-4
hashcat 1:6.2.6-2
hashcat-utils 1.9-3
hcxtools 6.3.5-1
htop 3.4.1-1
hypridle 0.1.6-6
hyprland 0.50.1-1
id3v2 0.1.12-7
